Age,F,M
0,0.500,0.500
1,0.500,0.500
2,0.500,0.500
3,0.500,0.500
4,0.500,0.500
5,0.887,0.887
6,0.887,0.887
7,0.887,0.887
8,0.887,0.887
9,0.887,0.887
10,0.884,0.884
11,0.884,0.884
12,0.884,0.884
13,0.884,0.884
14,0.884,0.884
15,0.898,0.898
16,0.898,0.898
17,0.898,0.898
18,0.898,0.898
19,0.898,0.898
20,0.905,0.923
21,0.905,0.923
22,0.905,0.923
23,0.905,0.923
24,0.905,0.923
25,0.883,0.694
26,0.883,0.694
27,0.883,0.694
28,0.883,0.694
29,0.883,0.694
30,0.881,0.674
31,0.881,0.674
32,0.881,0.674
33,0.881,0.674
34,0.881,0.674
35,0.875,0.695
36,0.875,0.695
37,0.875,0.695
38,0.875,0.695
39,0.875,0.695
40,0.857,0.622
41,0.857,0.622
42,0.857,0.622
43,0.857,0.622
44,0.857,0.622
45,0.625,0.118
46,0.625,0.118
47,0.625,0.118
48,0.625,0.118
49,0.625,0.118
50,0.400,0.333
51,0.400,0.333
52,0.400,0.333
53,0.400,0.333
54,0.400,0.333
55,0.000,0.000
56,0.000,0.000
57,0.000,0.000
58,0.000,0.000
59,0.000,0.000
60,0.000,0.000